Fuel Type,kg CO2 per unitas,Unit
Aviation Gasoline,,gallon
Biodiesel (100%),,gallon
Compressed Natural Gas (CNG),,scf
Diesel Fuel,,gallon
Ethanol (100%),,gallon
Kerosene-Type Jet Fuel,,gallon
Liquefied Natural Gas (LNG),,gallon
Liquefied Petroleum Gases (LPG),,gallon
Motor Gasoline,,gallon
Residual Fuel Oil,,gallon
