Vehicle Type,Fuel Type,CH4 Factor (g CH4 / gallon),N2O Factor (g N2O / gallon),Year
Ships and Boats,Residual Fuel Oil,1.1045615526278512,0.31456769136327156,2024
Ships and Boats,Gasoline (2 stroke),4.635798873289288,0.07814712128362436,2024
Ships and Boats,Gasoline (4 stroke),2.2551026427560172,0.008372905851816896,2024
Ships and Boats,Diesel,6.40811439749081,0.1723297696536373,2024
Locomotives,Diesel,0.7978230076557283,0.2553033624498331,2024
Aircraft,Jet Fuel,0 ,0.30022526810076783,2024
Aircraft,Aviation Gasoline,7.061766784452298,0.10699646643109542,2024
Agricultural Equipment,Gasoline (2 stroke),6.921602170835301,0.4744646649362908,2024
Agricultural Equipment,Gasoline (4 stroke),1.9397231890042472,1.2084894112789053,2024
Agricultural Equipment,Gasoline Off-Road Trucks,1.9397231890042472,1.2001165054270884,2024
Agricultural Equipment,Diesel Equipment,1.2669429361572966,1.0722741222892989,2024
Agricultural Equipment,Diesel Off-Road Trucks,0.9127095207581531,0.5552848133283869,2024
Agricultural Equipment,LPG,0.32838086975382275,0.9481997614141633,2024
Construction/Mining Equipment,Gasoline (2 stroke),7.97658830816423,0.11722068192543654,2024
Construction/Mining Equipment,Gasoline (4 stroke),2.852369926852289,1.4736314299197737,2024
Construction/Mining Equipment,Gasoline Off-Road Trucks,2.852369926852289,1.4736314299197737,2024
Construction/Mining Equipment,Diesel Equipment,1.0116395737074635,0.9414311490337594,2024
Construction/Mining Equipment,Diesel Off-Road Trucks,0.9127095207581531,0.5552848133283869,2024
Construction/Mining Equipment,LPG,0.5910855655568809,0.4987284459386183,2024
Lawn and Garden Equipment,Gasoline (2 stroke),7.287219059697972,0.30700654789995285,2024
Lawn and Garden Equipment,Gasoline (4 stroke),2.9975002949504486,1.4931682102406798,2024
Lawn and Garden Equipment,Diesel,0.663788742369566,0.48826768068530574,2024
Lawn and Garden Equipment,LPG,0.41458084806420126,0.628028413404186,2024
Airport Equipment,Gasoline,1.0242854825389336,1.0689409804152903,2024
Airport Equipment,Diesel,1.8924361741593876,1.1616302991467404,2024
Airport Equipment,LPG,0.3509570545493981,0.8866283483353214,2024
Industrial/Commercial Equipment,Gasoline (2 stroke),7.130924817130723,0.4967924138744691,2024
Industrial/Commercial Equipment,Gasoline (4 stroke),2.7435221507786696,1.5350327394997643,2024
Industrial/Commercial Equipment,Diesel,0.42125054804222456,0.6031541937877306,2024
Industrial/Commercial Equipment,LPG,0.4433141741676607,0.6403426960199544,2024
Logging Equipment,Gasoline (2 stroke),9.679079164700331,0 ,2024
Logging Equipment,Gasoline (4 stroke),3.2403145646531386,2.056943870929684,2024
Logging Equipment,Diesel,0.48826768068530574,1.2701342281879195,2024
Railroad Equipment,Gasoline,3.237523596035866,1.814129601226994,2024
Railroad Equipment,Diesel,0.39891150382786417,0.9478137330950052,2024
Railroad Equipment,LPG,1.9969661641904346,0.00820952174384557,2024
Recreational Equipment,Gasoline (2 stroke),9.796299846625768,0.10884777607361965,2024
Recreational Equipment,Gasoline (4 stroke),2.7211944018404908,1.4820043357715906,2024
Recreational Equipment,Diesel,0.7276145829820243,0.660597450338943,2024
Recreational Equipment,LPG,0.43305227198785373,0.6054522286086107,2024
