Fuel Type,kg CO2 per unit,Unit,Year
Aviation Gasoline,8.31,gallon,2023
Biodiesel (100%),9.45,gallon,2023
Compressed Natural Gas (CNG),0.05444,scf,2023
Diesel Fuel,10.21,gallon,2023
Ethanol (100%),5.75,gallon,2023
Kerosene-Type Jet Fuel,9.75,gallon,2023
Liquefied Natural Gas (LNG),4.5,gallon,2023
Liquefied Petroleum Gases (LPG),5.68,gallon,2023
Motor Gasoline,8.78,gallon,2023
Residual Fuel Oil,11.27,gallon,2023
