Vehicle Type,CO2 Factor (kg CO2 / unit),CH4 Factor (g CH4 / unit),N2O Factor (g N2O / unit),Units,Year
Medium- and Heavy-Duty Truck,,,,vehicle-mile,2023
Passenger Car A,,,,vehicle-mile,2023
Light-Duty Truck B,,,,vehicle-mile,2023
Medium- and Heavy-Duty TruckC,,,,ton-mile,2023
Rail,,,,ton-mile,2023
Waterborne Craft,,,,ton-mile,2023
Aircraft,,,,ton-mile,2023
